date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:53:50	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2028%20Feb%202025%2012:53:49%20GMT	http://digital-flow-staging.b12sites.com/index	C:/Users/mfire/OneDrive/Desktop/Diogo/Digital%20Flow/webpage/codigo%20pagina/meu%20site/Site%20Digital%20Flow/digital-flow-staging.b12sites.com/index	(from https://digital-flow-staging.b12sites.com/)
13:53:50	1356340/1356340	---M--	200	added ('OK')	image/png	etag:%22e0d23769893080a02672f059f1028c94%22	https://cdn.b12.io/client_media/arDhRqG2/2cf590d8-f53d-11ef-a38c-0242ac110002-png-hero_image.png	C:/Users/mfire/OneDrive/Desktop/Diogo/Digital%20Flow/webpage/codigo%20pagina/meu%20site/Site%20Digital%20Flow/cdn.b12.io/client_media/arDhRqG2/2cf590d8-f53d-11ef-a38c-0242ac110002-png-hero_image.png	(from https://digital-flow-staging.b12sites.com/)
13:53:51	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2028%20Feb%202025%2012:53:51%20GMT	http://digital-flow-staging.b12sites.com/social-media-management	C:/Users/mfire/OneDrive/Desktop/Diogo/Digital%20Flow/webpage/codigo%20pagina/meu%20site/Site%20Digital%20Flow/digital-flow-staging.b12sites.com/social-media-management	(from https://digital-flow-staging.b12sites.com/)
13:53:51	65084/65084	---M--	200	added ('OK')	image/jpeg	etag:%22f50a25ac0cf81d9b771ce1116bd760e6%22	https://cdn.b12.io/client_media/arDhRqG2/813a2be4-f54d-11ef-abca-0242ac110002-jpg-hero_image.jpeg	C:/Users/mfire/OneDrive/Desktop/Diogo/Digital%20Flow/webpage/codigo%20pagina/meu%20site/Site%20Digital%20Flow/cdn.b12.io/client_media/arDhRqG2/813a2be4-f54d-11ef-abca-0242ac110002-jpg-hero_image.jpg	(from https://digital-flow-staging.b12sites.com/)
13:53:51	59975/59975	---M--	200	added ('OK')	image/jpeg	etag:%225bc88b5b341dfc2d0e50cace84603c38%22	https://cdn.b12.io/client_media/arDhRqG2/c74d1958-f533-11ef-9999-0242ac110002-jpg-hero_image.jpeg	C:/Users/mfire/OneDrive/Desktop/Diogo/Digital%20Flow/webpage/codigo%20pagina/meu%20site/Site%20Digital%20Flow/cdn.b12.io/client_media/arDhRqG2/c74d1958-f533-11ef-9999-0242ac110002-jpg-hero_image.jpg	(from https://digital-flow-staging.b12sites.com/)
13:53:53	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2028%20Feb%202025%2012:53:52%20GMT	http://digital-flow-staging.b12sites.com/seo-and-google-optimization	C:/Users/mfire/OneDrive/Desktop/Diogo/Digital%20Flow/webpage/codigo%20pagina/meu%20site/Site%20Digital%20Flow/digital-flow-staging.b12sites.com/seo-and-google-optimization	(from https://digital-flow-staging.b12sites.com/)
13:53:53	59975/59975	---M--	200	added ('OK')	image/jpeg	etag:%225bc88b5b341dfc2d0e50cace84603c38%22	https://cdn.b12.io/client_media/arDhRqG2/c75e0cea-f533-11ef-9999-0242ac110002-jpg-regular_image.jpeg	C:/Users/mfire/OneDrive/Desktop/Diogo/Digital%20Flow/webpage/codigo%20pagina/meu%20site/Site%20Digital%20Flow/cdn.b12.io/client_media/arDhRqG2/c75e0cea-f533-11ef-9999-0242ac110002-jpg-regular_image.jpg	(from https://digital-flow-staging.b12sites.com/)
13:53:53	47997/47997	---M--	200	added ('OK')	image/jpeg	etag:%2209a308be5270659c0099cf2d7704703f%22	https://cdn.b12.io/client_media/arDhRqG2/7179a258-f53d-11ef-960e-0242ac110002-jpg-hero_image.jpeg	C:/Users/mfire/OneDrive/Desktop/Diogo/Digital%20Flow/webpage/codigo%20pagina/meu%20site/Site%20Digital%20Flow/cdn.b12.io/client_media/arDhRqG2/7179a258-f53d-11ef-960e-0242ac110002-jpg-hero_image.jpg	(from https://digital-flow-staging.b12sites.com/)
13:53:55	47997/47997	---M--	200	added ('OK')	image/jpeg	etag:%2209a308be5270659c0099cf2d7704703f%22	https://cdn.b12.io/client_media/arDhRqG2/7193f310-f53d-11ef-960e-0242ac110002-jpg-regular_image.jpeg	C:/Users/mfire/OneDrive/Desktop/Diogo/Digital%20Flow/webpage/codigo%20pagina/meu%20site/Site%20Digital%20Flow/cdn.b12.io/client_media/arDhRqG2/7193f310-f53d-11ef-960e-0242ac110002-jpg-regular_image.jpg	(from https://digital-flow-staging.b12sites.com/)
13:53:55	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2028%20Feb%202025%2012:53:54%20GMT	http://digital-flow-staging.b12sites.com/content-creation-photography	C:/Users/mfire/OneDrive/Desktop/Diogo/Digital%20Flow/webpage/codigo%20pagina/meu%20site/Site%20Digital%20Flow/digital-flow-staging.b12sites.com/content-creation-photography	(from https://digital-flow-staging.b12sites.com/)
